Id,Category
12557.jpg,2
14199.jpg,0
14094.jpg,0
14491.jpg,2
15509.jpg,1
15737.jpg,1
13554.jpg,1
14077.jpg,1
13938.jpg,0
18153.jpg,2
11233.jpg,1
11986.jpg,0
10296.jpg,0
17803.jpg,0
12532.jpg,1
10370.jpg,1
12995.jpg,0
11204.jpg,1
11739.jpg,1
17164.jpg,0
15867.jpg,2
10691.jpg,2
17392.jpg,0
14014.jpg,0
17512.jpg,2
10125.jpg,1
11783.jpg,1
11904.jpg,1
15710.jpg,1
13818.jpg,0
16470.jpg,1
11579.jpg,2
11202.jpg,2
11377.jpg,0
14217.jpg,0
13617.jpg,0
12567.jpg,2
11175.jpg,1
10581.jpg,2
13318.jpg,2
13220.jpg,1
16336.jpg,2
15498.jpg,1
11439.jpg,1
14626.jpg,1
15851.jpg,0
12912.jpg,0
18125.jpg,1
12503.jpg,2
14175.jpg,2
12918.jpg,1
10100.jpg,2
17427.jpg,2
10437.jpg,2
14264.jpg,1
17422.jpg,2
10120.jpg,2
12448.jpg,0
13100.jpg,2
17156.jpg,1
16853.jpg,1
11045.jpg,1
10850.jpg,2
15190.jpg,0
12775.jpg,2
14619.jpg,2
14391.jpg,1
16071.jpg,0
13527.jpg,1
17901.jpg,0
15365.jpg,0
17055.jpg,2
11773.jpg,0
16019.jpg,0
13524.jpg,2
14543.jpg,0
13931.jpg,2
10239.jpg,2
13344.jpg,0
16999.jpg,1
10999.jpg,1
17404.jpg,2
16426.jpg,0
11315.jpg,2
14215.jpg,1
13091.jpg,0
15505.jpg,1
15700.jpg,1
17319.jpg,1
11785.jpg,2
11616.jpg,1
17475.jpg,1
17983.jpg,2
11221.jpg,1
17715.jpg,0
12822.jpg,0
11130.jpg,1
15940.jpg,1
16330.jpg,2
17338.jpg,2
11955.jpg,1
10662.jpg,0
14760.jpg,1
11897.jpg,1
11222.jpg,2
12996.jpg,0
11210.jpg,1
13407.jpg,2
17762.jpg,2
16570.jpg,2
17492.jpg,0
13760.jpg,1
14404.jpg,1
11398.jpg,0
11176.jpg,1
17415.jpg,1
14729.jpg,1
13701.jpg,2
12988.jpg,1
13926.jpg,1
16793.jpg,1
12992.jpg,1
10326.jpg,2
14169.jpg,1
11362.jpg,1
16911.jpg,1
16065.jpg,1
12332.jpg,2
17758.jpg,2
12636.jpg,2
11115.jpg,0
14403.jpg,2
13830.jpg,1
18102.jpg,0
11137.jpg,2
10349.jpg,1
16356.jpg,1
15240.jpg,2
12846.jpg,2
13503.jpg,0
13584.jpg,2
10715.jpg,1
11980.jpg,2
13046.jpg,0
18123.jpg,1
14655.jpg,0
15956.jpg,2
11277.jpg,2
14648.jpg,1
17424.jpg,1
12833.jpg,0
16843.jpg,2
14548.jpg,2
10520.jpg,1
17649.jpg,2
11941.jpg,0
11755.jpg,1
10473.jpg,2
14120.jpg,1
13392.jpg,1
11850.jpg,0
10242.jpg,2
11587.jpg,1
18029.jpg,1
12223.jpg,1
17744.jpg,0
12142.jpg,0
17294.jpg,1
10771.jpg,1
12679.jpg,0
16192.jpg,2
14779.jpg,1
12615.jpg,1
15423.jpg,1
15292.jpg,2
10001.jpg,2
17318.jpg,0
17520.jpg,1
12158.jpg,0
16325.jpg,0
14230.jpg,1
14864.jpg,0
17692.jpg,1
16392.jpg,0
14740.jpg,1
16971.jpg,0
17229.jpg,1
17598.jpg,1
16682.jpg,0
11754.jpg,1
12619.jpg,1
13031.jpg,0
12191.jpg,1
12970.jpg,1
16446.jpg,1
17864.jpg,2
15050.jpg,0
10727.jpg,2
12799.jpg,1
10863.jpg,2
16761.jpg,1
12277.jpg,1
18078.jpg,1
15017.jpg,2
14956.jpg,1
16505.jpg,1
15371.jpg,2
16850.jpg,0
11345.jpg,0
10530.jpg,2
10346.jpg,2
10074.jpg,1
12802.jpg,2
15855.jpg,1
17967.jpg,2
14742.jpg,2
15062.jpg,0
10396.jpg,1
10494.jpg,0
14842.jpg,0
11790.jpg,2
15116.jpg,2
